date,mid,attempted_charges,declined_charges,successful_charges,unique_cycle_attempts,declined_unique_cycle_attempts,successful_unique_cycle_attempts,cycle_1_attempts,cycle_1_success,cycle_1_revenue,cycle_1_decline,renewal_attempts,renewal_success,renewal_decline,renewal_success_rate,successful_offers,item_quantity,successful_customers,gross_product_revenue,net_product_revenue,total_revenue,processed,adjustments,adjustment_rate,refunds,refund_rate,refunded_revenue,refunded_revenue_rate,voids,void_rate,voided_revenue,void_revenue_rate,chargebacks,chargeback_rate,chargeback_revenue,chargeback_revenue_rate,alerts,alert_rate,alert_revenue,alert_revenue_rate,net_revenue,cost_of_revenue,chargeback_fees,chargeback_fees_rate,processing_fees,processing_fees_rate,profit,profit_margin,UniquePlusLLC,BrightAdvantageLLC,DiamondSphereLLC,DiamondsphereLLC,BrightAdvantagellc,ClearPoulseLLC,SpecifiConLLC,PrimeSmartSolutionsLLC,charge_dp1_v3,charge_dp1_v1,cardtype_visa,cardtype_mastercard,dayofweek_monday,dayofweek_sunday,dayofweek_friday,dayofweek_wednesday,dayofweek_saturday,dayofweek_thursday,dayofweek_tuesday,bankissuer_the_bancorp_bank_national_association,bankissuer_wells_fargo_bank_national_association,bankissuer_stride_bank_national_association,bankissuer_credit_one_bank_national_association,bankissuer_other,bankissuer_jpmorgan_chase_bank_na,bankissuer_capital_one_national_association,bankissuer_bank_of_america_national_association,bankissuer_jpmorgan_chase_bank_na_-_debit,bankissuer_citibank_na,shipstate_oh,shipstate_ny,shipstate_az,shipstate_other,shipstate_wi,shipstate_pa,shipstate_il,shipstate_mi,shipstate_ga,shipstate_nc,shipstate_tn,shipstate_fl,shipstate_ca,shipstate_tx,shipstate_in,shipstate_mo,success_charge_ratess
10/05/2025,17,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,-0.2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11/05/2025,17,4,2,2,4,2,2,4,2,25.78,2,0,0,0,0,2,2,2,25.78,25.78,25.78,25.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.78,2.08,0,0,2.08,0.0326,23.7,1.8696,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
12/05/2025,17,31,20,11,31,20,11,31,11,141.79,20,0,0,0,0,11,11,11,141.79,141.79,141.79,141.79,12.89,0.032258065,1,0.032258065,12.89,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,128.9,13.24,0,0,13.24,0.023135484,115.66,9.2828,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35483871
13/05/2025,17,14,7,7,14,7,7,14,7,90.23,7,0,0,0,0,7,7,7,90.23,90.23,90.23,90.23,12.89,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,1,0.071428571,12.89,0.071428571,77.34,7.28,0,0,7.28,0.0326,70.06,5.5436,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
14/05/2025,17,7,4,3,7,4,3,7,3,38.67,4,0,0,0,0,3,3,3,38.67,38.67,38.67,38.67,12.89,0.142857143,1,0.142857143,12.89,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,25.78,3.32,0,0,3.32,0.027942857,22.46,1.8044,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429
15/05/2025,17,13,8,5,13,8,5,13,5,64.45,8,0,0,0,0,5,5,5,64.45,64.45,64.45,64.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.45,5.8,0,0,5.8,0.025076923,58.65,4.674,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384615385
16/05/2025,17,16,11,5,16,11,5,16,5,64.45,11,0,0,0,0,5,5,5,64.45,64.45,64.45,64.45,12.89,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0625,12.89,0.0625,51.56,6.4,0,0,6.4,0.020375,45.16,3.674,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125
17/05/2025,17,24,14,10,24,14,10,24,10,128.9,14,0,0,0,0,10,10,10,128.9,128.9,128.9,128.9,38.67,0.125,0,0,0,0,0,0,0,0,1,0.041666667,12.89,0.041666667,2,0.083333333,25.78,0.083333333,90.23,46.2,35,0.1131375,11.2,0.027166667,44.03,3.6328,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666667
18/05/2025,17,2,0,2,2,0,2,2,2,25.78,0,0,0,0,0,2,2,2,25.78,25.78,25.78,25.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.78,1.68,0,0,1.68,0.0652,24.1,1.8696,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19/05/2025,17,11,6,5,11,6,5,11,5,64.45,6,0,0,0,0,5,5,5,64.45,64.45,64.45,64.45,12.89,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091,12.89,0.090909091,51.56,5.4,0,0,5.4,0.029636364,46.16,3.674,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545455
